,competition,group_name,year,team_manual,_merge
254,WorldCup,caspian-RC2003,2003,,both
250,WorldCup,chagamma-rc2003,2003,,both
278,WorldCup,cyberoos-RC2003,2003,cyberoos2003,both
326,WorldCup,drweb-RC2003,2003,,both
430,WorldCup,eka-RC2003,2003,,left_only
501,WorldCup,FCPortugal2003,2003,,both
502,WorldCup,FCPortugal2003,2003,,both
275,WorldCup,gemini-RC2003,2003,,both
226,WorldCup,hana-RC2003,2003,,both
123,WorldCup,helios-RC2003,2003,helios2003,both
302,WorldCup,humboldt-RC2003,2003,,both
500,WorldCup,iranians-RC2003,2003,,both
168,WorldCup,isocrob-RC2003,2003,isocrob2003,both
341,WorldCup,kimia-rc2003,2003,,both
526,WorldCup,magma-rc2003,2003,mgmafurtwangen,both
383,WorldCup,mainz-rc2003,2003,,left_only
316,WorldCup,nit-RC2003,2003,,left_only
394,WorldCup,owl2003-RC2003,2003,,both
515,WorldCup,oxsy-RC2003,2003,,both
337,WorldCup,oz-RC2003,2003,,left_only
104,WorldCup,portugal-RC2003,2003,,left_only
172,WorldCup,portugal-rc2003,2003,,left_only
474,WorldCup,puppets-RC2003,2003,,both
327,WorldCup,robolog-RC2003,2003,robolog2k3,both
401,WorldCup,sfunleashed-RC2003,2003,,left_only
426,WorldCup,sirim-RC2003,2003,,both
9,WorldCup,thunder-RC2003,2003,,both
191,WorldCup,thunder-rc2003,2003,,both
154,WorldCup,trilearn_rc2003_bin,2003,,both
156,WorldCup,trilearn_rc2003_bin_static,2003,,both
166,WorldCup,trilearn-rc2003,2003,,both
216,WorldCup,tsing-RC2003,2003,,left_only
183,WorldCup,tsinghuaeolus-RC2003,2003,,both
463,WorldCup,werder-rc2003,2003,we2003,both
160,WorldCup,wright-RC2003,2003,,left_only
5,WorldCup,yamaarashi-RC2003,2003,,both
414,WorldCup,yowa-RC2003,2003,yowai2003,both
22,WorldCup,zju03_padova_bin,2003,zjubase,both
252,AutumnCamp,anct2004_acamp04,2004,,both
106,AutumnCamp,hana_ac2004,2004,hana,both
157,AutumnCamp,NITinPossible,2004,,both
19,AutumnCamp,NITroG,2004,,both
462,AutumnCamp,raic04-bsd-autumncamp,2004,raic2004,both
432,AutumnCamp,Rhona2003,2004,,both
433,AutumnCamp,Rhona2003,2004,,both
312,AutumnCamp,Rhona2004,2004,,both
267,AutumnCamp,tokyotech-acamp04-linux,2004,tokyotech2004,both
460,AutumnCamp,YowAI2004_autumn,2004,,both
386,JapanOpens,anct2004,2004,,both
393,JapanOpens,CHELLO,2004,,both
483,JapanOpens,F-Blitz,2004,,left_only
240,JapanOpens,fuk2-freebsd-jo04,2004,,both
53,JapanOpens,hana_jo04,2004,,both
465,JapanOpens,NITStones,2004,nitstones2004,both
201,JapanOpens,raic04-linux-jo2,2004,raic2004,both
492,JapanOpens,tokyotech-jo04,2004,tokyotech2004,both
242,JapanOpens,tokyotech-jopen04-linux,2004,,left_only
204,JapanOpens,WinKIT_20040504,2004,,both
251,JapanOpens,YowAI2004jo,2004,,both
148,WorldCup,aeolus04,2004,,left_only
467,WorldCup,Aria2d,2004,,both
406,WorldCup,borregos_rc2004,2004,,both
442,WorldCup,BrainstormersPortugal04,2004,brainstormers04,both
192,WorldCup,fcportugal2004Team2d,2004,,both
113,WorldCup,Mersad-3,2004,,both
321,WorldCup,RoboLog2D,2004,,both
74,WorldCup,STEP-RoboCup2004,2004,,both
126,WorldCup,tokyotech-04Lisbon,2004,tokyotech2004,both
225,WorldCup,trilearn_rc2004_bin,2004,,both
452,WorldCup,vw-rc2004,2004,vw2004,both
8,WorldCup,vw-rc2004-coach-src,2004,vw2004,both
88,WorldCup,vw-rc2004-src,2004,vw2004,both
89,WorldCup,vw-rc2004-src,2004,vw2004,both
161,WorldCup,YowAI_RC2004,2004,yowai2004,both
400,WorldCup,zjubase_lisbon_2004,2004,,both
392,WorldCup,Brainstormers_rc2005_2d_bin,2005,brainstormers05,both
72,WorldCup,FCPortugal_rc2005_2d_bin,2005,fcportugal2005,both
16,WorldCup,RoboSina_rc2005_2d_bin,2005,,both
266,WorldCup,SEU_T_rc2005_2d_bin,2005,,left_only
80,WorldCup,tokyotech_rc2005_2d_bin,2005,tokyotech2005,both
213,WorldCup,trilearn_rc2005_2d_bin,2005,,both
508,WorldCup,WrightEagle2005_rc2005_2d_bin,2005,we2005,both
338,WorldCup,YowAI2005_rc2005_2d_bin,2005,,both
387,WorldCup,ZJUBase_rc2005_2d_bin,2005,,both
33,WorldCup,Brainstormers06_rc2006_bin,2006,,both
417,WorldCup,DainamiteBremen2006,2006,,both
200,WorldCup,oxsy,2006,,both
141,WorldCup,robosina,2006,,both
346,WorldCup,seu2d,2006,,both
448,WorldCup,tokyotech_rc2006_bin,2006,tokyotech2006,both
403,WorldCup,tokyotech-06Bremen,2006,tokyotech2006,both
17,WorldCup,WrightEagle2D_rc2006_bin,2006,we2006,both
181,WorldCup,YowAI_rc2006_bin,2006,yowai2006,both
490,AutumnCamp,BIG_KUBO_BEARS,2007,bigkubobearsjin,both
255,AutumnCamp,Elysion_Autumn_bin,2007,,both
376,AutumnCamp,FC-PESCA,2007,,both
473,AutumnCamp,helios-ac2007,2007,,both
269,AutumnCamp,KU_BOST,2007,,both
6,AutumnCamp,Meister_OPU,2007,,both
468,AutumnCamp,NaRi-one_Autumn_bin,2007,,both
210,AutumnCamp,Obake_OPUAutumunBinary,2007,,both
356,AutumnCamp,Okarobo,2007,,both
48,AutumnCamp,puppets,2007,,both
165,AutumnCamp,ReKM,2007,,both
257,AutumnCamp,Ri-one_Autumn_bin,2007,,both
336,ChinaOpens,AmoiensisNQ,2007,,both
124,ChinaOpens,Apollo,2007,,left_only
142,ChinaOpens,CZU,2007,,both
375,ChinaOpens,DreamWing,2007,,both
163,ChinaOpens,GDUT,2007,,left_only
47,ChinaOpens,HfutEngine,2007,,both
518,ChinaOpens,JMU,2007,,both
230,ChinaOpens,SPAM-Tehran,2007,,both
428,ChinaOpens,Strive,2007,,both
425,ChinaOpens,UJS,2007,,left_only
343,ChinaOpens,Victory-1_CUMT,2007,,both
308,ChinaOpens,WrightEagle,2007,we2007,both
122,ChinaOpens,ZcvcTR,2007,zcvctf,left_only
519,JapanOpens,anct2007_jo2007,2007,,both
237,JapanOpens,big_kubo_bears_jo2007,2007,,both
54,JapanOpens,helios_jo2007,2007,helios2007,both
85,JapanOpens,MIKK_jo2007,2007,,both
319,JapanOpens,nopporoes07_jo2007,2007,,both
97,JapanOpens,ODENS_jo2007,2007,,both
447,JapanOpens,okarobo_jo2007,2007,,both
461,JapanOpens,raic07_jo2007,2007,raic2007,both
381,JapanOpens,Ri-one_2007_bin_jo2007,2007,,both
64,JapanOpens,ThinkingAnts_jo2007,2007,,both
65,JapanOpens,ThinkingAnts_jo2007,2007,,both
52,JapanOpens,yowai_jo2007,2007,,both
440,WorldCup,Brainstormers07_rc2007_bin,2007,,both
139,WorldCup,czu2d,2007,,both
219,WorldCup,fcp2d,2007,fcportugal2007,both
66,WorldCup,HELIOS_rc2007_bin,2007,helios2007,both
249,WorldCup,kotug,2007,,left_only
125,WorldCup,ncl,2007,ncl07,both
108,WorldCup,nemesis,2007,,both
129,WorldCup,Oxsy_rc2007_bin,2007,,both
358,WorldCup,rione,2007,,left_only
378,WorldCup,wright2d,2007,we2007,both
469,WorldCup,yowai,2007,,both
178,ChinaOpens,Apollo,2008,,both
436,ChinaOpens,AUA,2008,,both
524,ChinaOpens,DesertEgl,2008,,both
