analizo_loc,analizo_rfc,analizo_npm,analizo_acc,analizo_dit,analizo_npa,analizo_anpm,analizo_cbo,analizo_mmloc,analizo_accm,analizo_noc,analizo__filename,analizo_noa,analizo__module,folder,analizo_lcom4,type,analizo_nom,analizo_amloc,analizo_sc
0,0,0,0,0,0,0,0,0,0,0,"['NewCogniTAO/MoveToPlace/robot/devicesLib/Laser.h', 'NewCogniTAO/MoveToPlace/robot/devicesLib/Laser.cpp']",0,MoveToPlace/robot/devicesLib/Laser,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"['NewCogniTAO/MoveToPlace/robot/devicesLib/Position.h', 'NewCogniTAO/MoveToPlace/robot/devicesLib/Position.cpp']",0,NewCogniTAO/MoveToPlace/robot/devicesLib/Position,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"['NewCogniTAO/MoveToPlace/robot/devicesLib/Ptz.h', 'NewCogniTAO/MoveToPlace/robot/devicesLib/Ptz.cpp']",0,MoveToPlace/robot/devicesLib/Ptz,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"['NewCogniTAO/MoveToPlace/robot/devicesLib/devicesStructs/Blob.h', 'NewCogniTAO/MoveToPlace/robot/devicesLib/devicesStructs/Blob.cpp']",0,MoveToPlace/robot/devicesLib/devicesStructs/Blob,Magneton2Year,0,Magneton,0,0,0
70,2,2,0,0,0,2.5,0,60,7,0,"['NewCogniTAO/MoveToPlace/robot/devicesLib/domain_art/markerDetectionLite/object.cpp', 'NewCogniTAO/MoveToPlace/robot/devicesLib/domain_art/markerDetectionLite/object.h']",0,MoveToPlace/robot/devicesLib/domain_art/markerDetectionLite/object,Magneton2Year,2,Magneton,2,35,0
0,0,0,0,0,0,0,0,0,0,0,['NewCogniTAO/MoveToPlace/robot/devicesLib/domain_player/BlobFinder.cpp'],0,MoveToPlace/robot/devicesLib/domain_player/BlobFinder,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,0,0,0,0,0,0,['NewCogniTAO/MoveToPlace/robot/devicesLib/domain_player/Ptz.cpp'],0,MoveToPlace/robot/devicesLib/domain_player/Ptz,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"['NewCogniTAO/MoveToPlace/robot/devicesLib/domain_player/devicesStructs/PlrBlob.h', 'NewCogniTAO/MoveToPlace/robot/devicesLib/domain_player/devicesStructs/PlrBlob.cpp']",0,MoveToPlace/robot/devicesLib/domain_player/devicesStructs/PlrBlob,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"['NewCogniTAO/MoveToPlace/robot/devicesLib/domain_shrimp/Laser.h', 'NewCogniTAO/MoveToPlace/robot/devicesLib/domain_shrimp/Laser.cpp']",0,MoveToPlace/robot/devicesLib/domain_shrimp/Laser,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,0,0,0,0,0,0,['NewCogniTAO/MoveToPlace/robot/devicesLib/domain_shrimp/Laser/common.h'],0,NewCogniTAO/MoveToPlace/robot/devicesLib/domain_shrimp/Laser/common,Magneton2Year,0,Magneton,0,0,0
