,player_fast_block_instructions_info_max,player_fast_block_instructions_info_min,player_fast_block_instructions_info_std,player_fast_block_instructions_info_sum,player_fast_blocks_sizes_info_max,player_fast_blocks_sizes_info_min,player_fast_blocks_sizes_info_std,player_fast_blocks_sizes_info_sum,player_fast_complex_mccabe,player_fast_number_of_CFG_nodes_that_return_a_value,player_fast_simple_mccabe,player_fast_system_calls_count,player_function_cc_radare2_max,player_function_cc_radare2_mean,player_function_cc_radare2_std,player_function_cc_radare2_sum,binary_player_number_lines,results_team,results_Unnamed: 0,results_loss,results_S,results_R,results_games,results_tie,results_win,results_win_diff,results_win_rate,results_goals_diff,results_loss_rate,results_rank
183,102.0,0.0,4.48727357465,304578.0,400.0,0.0,17.4166052336,992607.0,110228.0,3697.0,61432.0,0.0,447.0,9.36906584992,24.2352575964,24472.0,263334.0,cyberoos2002,959,2.0,20,7,9,2.0,5.0,0.3333333333333333,0.5555555555555556,1.4444444444444444,0.2222222222222222,0.0
186,,,,,,,,,,,,,447.0,6.81369209809,19.9194998595,20005.0,222099.0,trilearn,1030,3.0,34,6,16,3.0,10.0,0.4375,0.625,1.75,0.1875,0.0
187,,,,,,,,,,,,,350.0,6.8416340235,33.509665707399996,12226.0,186852.0,united,475,7.0,12,40,14,4.0,3.0,-0.2857142857142857,0.21428571428571427,-2.0,0.5,0.0
188,122.0,0.0,5.76546332786,202701.0,400.0,0.0,22.2583572914,675603.0,62693.0,2562.0,32189.0,0.0,209.0,3.78442765834,10.128374794600001,6513.0,187353.0,wrighteagle2002,1039,3.0,51,5,20,5.0,12.0,0.45,0.6,2.3,0.15,0.0
189,165.0,0.0,7.18977511295,171674.0,400.0,0.0,25.739730936500006,540994.0,48903.0,2284.0,23997.0,0.0,151.0,6.217828418230001,10.4414686035,9277.0,138619.0,tsinghuaeolus,1210,0.0,45,1,16,3.0,13.0,0.8125,0.8125,2.75,0.0,3.0
190,,,,,,,,,,,,,447.0,4.92829026185,16.669743901300002,28796.0,427665.0,hellirespina2002,995,3.0,26,6,11,1.0,7.0,0.3636363636363637,0.6363636363636364,1.8181818181818181,0.2727272727272727,0.0
191,91.0,0.0,4.5138629076,172743.0,397.0,0.0,15.595761505699999,557890.0,86498.0,1251.0,39062.0,0.0,212.0,6.01147396293,13.760428151500001,6811.0,154814.0,humboldt,316,1.0,0,9,2,1.0,0.0,-0.5,0.0,-4.5,0.5,0.0
192,,,,,,,,,,,,,447.0,4.7284406899,15.956878180899999,26867.0,385947.0,hellirespina2002,995,3.0,26,6,11,1.0,7.0,0.3636363636363637,0.6363636363636364,1.8181818181818181,0.2727272727272727,0.0
194,101.0,0.0,4.05043087643,168502.0,399.0,0.0,14.5751778627,533315.0,66590.0,2051.0,33108.0,0.0,13.0,7.0,6.0,14.0,140155.0,fcp,663,0.0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
195,106.0,0.0,7.444106228710001,50362.0,400.0,0.0,27.1355848089,159579.0,13390.0,571.0,6636.0,0.0,82.0,5.77358490566,7.752050616819999,2142.0,41439.0,iranians,179,3.0,0,6,4,1.0,0.0,-0.75,0.0,-1.5,0.75,0.0
197,,,,,,,,,,,,,181.0,7.7068452381,13.171106573900001,5179.0,82747.0,helios,951,3.0,20,9,13,3.0,7.0,0.3076923076923077,0.5384615384615384,0.8461538461538461,0.2307692307692308,0.0
198,,,,,,,,,,,,,447.0,9.21463414634,25.067680796799998,17001.0,155552.0,hellirespina2002,995,3.0,26,6,11,1.0,7.0,0.3636363636363637,0.6363636363636364,1.8181818181818181,0.2727272727272727,0.0
199,,,,,,,,,,,,,523.0,6.603628601919999,19.9426870285,30938.0,644659.0,bs02,1074,0.0,6,0,2,1.0,1.0,0.5,0.5,3.0,0.0,0.0
202,,,,,,,,,,,,,527.0,7.0336039693300005,18.7818830895,31187.0,339315.0,robolog2k2,682,1.0,1,6,4,2.0,1.0,0.0,0.25,-1.25,0.25,0.0
203,105.0,0.0,5.06704319727,231549.0,400.0,0.0,18.7311295143,735592.0,77551.0,2541.0,38869.0,0.0,17.0,9.0,8.0,18.0,193398.0,helios,951,3.0,20,9,13,3.0,7.0,0.3076923076923077,0.5384615384615384,0.8461538461538461,0.2307692307692308,0.0
206,76.0,0.0,4.9557646894400005,74355.0,241.0,0.0,15.9982620553,225345.0,24435.0,1465.0,12835.0,0.0,66.0,2.67575462512,4.26336335292,2748.0,67403.0,wroclaw,588,3.0,5,5,6,1.0,2.0,-0.16666666666666666,0.3333333333333333,0.0,0.5,0.0
207,,,,,,,,,,,,,101.0,3.5008,6.843653947999999,2188.0,52744.0,vw2002,544,3.0,7,8,5,0.0,2.0,-0.2,0.4,-0.2,0.6,0.0
208,,,,,,,,,,,,,31.0,16.0,15.0,32.0,505520.0,puppets,816,4.0,28,17,10,1.0,5.0,0.1,0.5,1.1,0.4,0.0
211,77.0,0.0,5.89209224262,207257.0,400.0,0.0,22.7500025434,668474.0,54713.0,2089.0,29895.0,0.0,124.0,7.80350039777,12.4331294737,9809.0,158600.0,polytech2002,644,5.0,6,17,14,5.0,4.0,-0.07142857142857142,0.2857142857142857,-0.7857142857142857,0.35714285714285715,0.0
