,teamname,loss,S,R,games,tie,win,competition,year,win_diff,win_rate,goals_diff,loss_rate,team,rank
52,-one,1.0,0,4,1,0.0,0.0,JapanAutumnCamp,2005,-1.0,0.0,-4.0,1.0,one,
53,_grana05,3.0,0,6,3,0.0,0.0,JapanAutumnCamp,2005,-1.0,0.0,-2.0,1.0,grana05,
54,zeng01,1.0,0,1,1,0.0,0.0,WorldCup,2001,-1.0,0.0,-1.0,1.0,zeng01,
55,dirtydozen,4.0,1,10,4,0.0,0.0,WorldCup,2001,-1.0,0.0,-2.25,1.0,dirtydozen,
56,hfutegine,3.0,0,17,3,0.0,0.0,ChinaOpens,2012,-1.0,0.0,-5.666666666666667,1.0,hfutegine,
57,fcportugal,1.0,0,1,1,0.0,0.0,WorldCup,2001,-1.0,0.0,-1.0,1.0,fcportugal,1.0
58,persiangulf,2.0,7,15,2,0.0,0.0,IranOpens,2017,-1.0,0.0,-4.0,1.0,persiangulf,
59,-cumt,1.0,3,4,1,0.0,0.0,ChinaOpens,2008,-1.0,0.0,-1.0,1.0,cumt,
60,_star,4.0,0,15,4,0.0,0.0,ChinaOpens,2008,-1.0,0.0,-3.75,1.0,star,
61,_taac2012,3.0,6,16,3,0.0,0.0,ChinaOpens,2012,-1.0,0.0,-3.3333333333333335,1.0,taac2012,
62,_cmowl,6.0,0,34,6,0.0,0.0,WorldCup,2003,-1.0,0.0,-5.666666666666667,1.0,cmowl,
63,bjut,5.0,0,22,5,0.0,0.0,ChinaOpens,2008,-1.0,0.0,-4.4,1.0,bjut,
64,actu,2.0,0,8,2,0.0,0.0,IranOpens,2006,-1.0,0.0,-4.0,1.0,actu,
65,ritsmk2,2.0,1,10,2,0.0,0.0,JapanAutumnCamp,2005,-1.0,0.0,-4.5,1.0,ritsmk2,
66,simcanuck,6.0,0,7,6,0.0,0.0,WorldCup,2001,-1.0,0.0,-1.1666666666666667,1.0,simcanuck,
67,vw,3.0,0,10,3,0.0,0.0,WorldCup,2001,-1.0,0.0,-3.3333333333333335,1.0,vw,
68,firecore,9.0,0,21,9,0.0,0.0,ChinaOpens,2008,-1.0,0.0,-2.3333333333333335,1.0,firecore,
69,wwfc,5.0,0,22,5,0.0,0.0,WorldCup,2001,-1.0,0.0,-4.4,1.0,wwfc,
70,thunderbots,7.0,0,23,7,0.0,0.0,WorldCup,2013,-1.0,0.0,-3.2857142857142856,1.0,thunderbots,
71,bjut,2.0,0,3,2,0.0,0.0,ChinaOpens,2006,-1.0,0.0,-1.5,1.0,bjut,
72,.rcl,1.0,0,1,1,0.0,0.0,WorldCup,2008,-1.0,0.0,-1.0,1.0,.rcl,
73,itandroids,6.0,0,11,6,0.0,0.0,WorldCup,2007,-1.0,0.0,-1.8333333333333333,1.0,itandroids,
74,-on,1.0,0,2,1,0.0,0.0,PRIMA,2009,-1.0,0.0,-2.0,1.0,on,
75,persiangulf,3.0,3,6,3,0.0,0.0,IranOpens,2008,-1.0,0.0,-1.0,1.0,persiangulf,
76,-one2010,5.0,0,15,5,0.0,0.0,PRIMA,2009,-1.0,0.0,-3.0,1.0,one2010,
77,brainstormers03,1.0,0,2,1,0.0,0.0,GermanOpens,2003,-1.0,0.0,-2.0,1.0,brainstormers03,
78,opuci,1.0,0,2,1,0.0,0.0,PRIMA,2009,-1.0,0.0,-2.0,1.0,opuci,
79,_roci,4.0,1,10,4,0.0,0.0,ChinaOpens,2003,-1.0,0.0,-2.25,1.0,roci,
80,_rocii,1.0,0,2,1,0.0,0.0,ChinaOpens,2003,-1.0,0.0,-2.0,1.0,rocii,
81,scorpius,3.0,0,7,3,0.0,0.0,IranOpens,2008,-1.0,0.0,-2.3333333333333335,1.0,scorpius,
82,rione,1.0,0,8,1,0.0,0.0,PRIMA,2009,-1.0,0.0,-8.0,1.0,rione,
83,biteverest2006,2.0,0,8,2,0.0,0.0,ChinaOpens,2006,-1.0,0.0,-4.0,1.0,biteverest2006,
84,rhoban,8.0,0,19,8,0.0,0.0,WorldCup,2015,-1.0,0.0,-2.375,1.0,rhoban,
85,-bost,1.0,1,3,1,0.0,0.0,SimKansai,2006,-1.0,0.0,-2.0,1.0,bost,
86,mangoteam,3.0,1,7,3,0.0,0.0,FIIT,2004,-1.0,0.0,-2.0,1.0,mangoteam,
87,lastutd,3.0,0,4,3,0.0,0.0,FIIT,2004,-1.0,0.0,-1.3333333333333333,1.0,lastutd,
88,lastunited2,1.0,0,2,1,0.0,0.0,FIIT,2004,-1.0,0.0,-2.0,1.0,lastunited2,
89,thinkingan,1.0,0,4,1,0.0,0.0,JapanOpens,2007,-1.0,0.0,-4.0,1.0,thinkingan,
90,csu,1.0,0,1,1,0.0,0.0,ChinaOpens,2003,-1.0,0.0,-1.0,1.0,csu,
91,borregos,3.0,0,15,3,0.0,0.0,WorldCup,2004,-1.0,0.0,-5.0,1.0,borregos,
92,chagamma,3.0,0,3,3,0.0,0.0,WorldCup,2004,-1.0,0.0,-1.0,1.0,chagamma,
93,-hopomo,2.0,0,12,2,0.0,0.0,AI-Games,2005,-1.0,0.0,-6.0,1.0,hopomo,
94,actu,2.0,0,7,2,0.0,0.0,AI-Games,2005,-1.0,0.0,-3.5,1.0,actu,
