,analizo_acc_mean,analizo_acc_quantile_lower,analizo_acc_quantile_median,analizo_acc_quantile_upper,analizo_accm_mean,analizo_accm_quantile_lower,analizo_accm_quantile_median,analizo_accm_quantile_upper,analizo_amloc_mean,analizo_amloc_quantile_lower,analizo_amloc_quantile_median,analizo_amloc_quantile_upper,analizo_anpm_mean,analizo_anpm_quantile_lower,analizo_anpm_quantile_median,analizo_anpm_quantile_upper,analizo_cbo_mean,analizo_cbo_quantile_lower,analizo_cbo_quantile_median,analizo_cbo_quantile_upper,analizo_dit_mean,analizo_dit_quantile_lower,analizo_dit_quantile_median,analizo_dit_quantile_upper,analizo_lcom4_mean,analizo_lcom4_quantile_lower,analizo_lcom4_quantile_median,analizo_lcom4_quantile_upper,analizo_mmloc_mean,analizo_mmloc_quantile_lower,analizo_mmloc_quantile_median,analizo_mmloc_quantile_upper,analizo_noa_mean,analizo_noa_quantile_lower,analizo_noa_quantile_median,analizo_noa_quantile_upper,analizo_noc_mean,analizo_noc_quantile_lower,analizo_noc_quantile_median,analizo_noc_quantile_upper,analizo_nom_mean,analizo_nom_quantile_lower,analizo_nom_quantile_median,analizo_nom_quantile_upper,analizo_npa_mean,analizo_npa_quantile_lower,analizo_npa_quantile_median,analizo_npa_quantile_upper,analizo_npm_mean,analizo_npm_quantile_lower,analizo_npm_quantile_median,analizo_npm_quantile_upper,analizo_rfc_mean,analizo_rfc_quantile_lower,analizo_rfc_quantile_median,analizo_rfc_quantile_upper,analizo_sc_mean,analizo_sc_quantile_lower,analizo_sc_quantile_median,analizo_sc_quantile_upper,folder,category,agent_type,type
11,3.14018691589,0.0,1.0,3.0,3.29740236076,1.0,1.35714285714,3.10714285714,15.130761496099998,2.125,5.5,16.5628342246,0.91964825556,0.375,0.833333333333,1.23214285714,3.34579439252,0.0,1.0,5.0,0.551401869159,0.0,0.0,1.0,11.1121495327,2.0,3.0,7.0,58.785046728999994,5.0,15.0,74.0,9.54205607477,1.0,2.0,8.0,0.233644859813,0.0,0.0,0.0,20.1962616822,3.0,7.0,17.5,3.39252336449,0.0,0.0,1.0,18.626168224300002,3.0,6.0,14.5,88.90654205610001,7.0,23.0,69.5,18.523364486,0.0,1.0,8.5,/home/se-metrics/root/proccesed1/2004_WorldCup_vw-rc2004-src,Robocup-2D,agent,Robocup
13,1.32974910394,0.0,0.0,2.0,3.58920249715,1.0,1.0,2.26136363636,22.4904566867,4.0,8.0,19.671052631600002,1.11607948256,0.5,1.0,1.79220779221,2.26164874552,0.0,0.0,3.0,0.308243727599,0.0,0.0,1.0,5.53046594982,2.0,3.0,6.0,57.8207885305,5.0,18.0,50.5,4.6594982078900005,0.0,2.0,5.0,0.17921146953400002,0.0,0.0,0.0,9.20071684588,2.0,4.0,11.5,1.79928315412,0.0,0.0,1.0,8.53046594982,2.0,4.0,10.0,35.498207885300005,3.0,10.0,33.5,24.3261648746,0.0,0.0,8.0,/home/se-metrics/root/proccesed1/2000_WorldCup_RC2000-oz,Robocup-2D,agent,Robocup
14,3.979591836730001,0.0,1.0,3.0,2.82340779196,1.0,1.5,2.70833333333,18.5541590956,4.5,10.6666666667,19.8333333333,0.874170045619,0.4,0.666666666667,1.20869565217,3.59183673469,0.0,3.0,6.0,0.802721088435,0.0,1.0,1.0,6.38095238095,2.0,3.0,5.0,72.7414965986,8.0,30.0,71.0,4.93197278912,1.0,2.0,6.0,0.666666666667,0.0,0.0,0.0,9.59183673469,3.0,5.0,10.0,0.340136054422,0.0,0.0,0.0,7.93197278912,3.0,4.0,7.0,39.102040816300004,7.5,18.0,40.0,33.4897959184,0.0,6.0,24.0,/home/se-metrics/root/proccesed1/2004_WorldCup_Mersad-3,Robocup-2D,agent,Robocup
15,1.3418803418799998,0.0,0.0,1.0,3.99276093534,1.42857142857,3.0,5.833333333330001,41.2792688751,8.666666666669999,33.3333333333,60.9090909091,1.6753649648,0.666666666667,1.125,2.0,1.07692307692,0.0,1.0,2.0,0.692307692308,0.0,1.0,1.0,4.21367521368,1.0,3.0,6.0,94.1367521368,19.0,59.0,140.0,2.1623931623900003,0.0,1.0,2.0,0.307692307692,0.0,0.0,0.0,6.09401709402,2.0,4.0,7.0,0.632478632479,0.0,0.0,0.0,3.76923076923,1.0,2.0,4.0,13.2307692308,3.0,6.0,13.0,6.487179487180001,0.0,1.0,7.0,/home/se-metrics/root/proccesed1/2011_JapanOpens_Puppets-JapanOpen2011,Robocup-2D,agent,Robocup
16,1.6332046332,0.0,0.0,1.0,2.85694711171,1.0,1.4,3.62142857143,24.8110575327,2.6568627451,5.8,37.7434782609,1.31024617935,0.666666666667,1.14285714286,1.61904761905,1.49420849421,0.0,1.0,2.0,0.648648648649,0.0,1.0,1.0,5.266409266409999,2.0,5.0,7.0,51.667953668,7.0,18.0,64.0,1.6679536679499998,0.0,1.0,2.0,0.416988416988,0.0,0.0,0.0,8.32046332046,2.0,7.0,13.0,0.440154440154,0.0,0.0,0.0,7.154440154439999,2.0,5.0,11.0,18.5405405405,4.0,11.0,22.0,10.2162162162,0.0,2.0,12.0,/home/se-metrics/root/proccesed1/2016_WorldCup_FCP_GPR_2014,Robocup-2D,agent,Robocup
17,3.65853658537,1.0,3.0,6.0,2.5182273057,1.0,1.5,3.0,13.850499331199998,2.0,5.75,17.0,1.21109862127,1.0,1.0,1.44444444444,3.68292682927,1.0,1.0,3.0,0.243902439024,0.0,0.0,0.0,2.75609756098,1.0,1.0,2.0,47.3170731707,4.0,12.0,52.0,6.17073170732,1.0,3.0,6.0,0.341463414634,0.0,0.0,0.0,9.17073170732,3.0,7.0,14.0,2.85365853659,0.0,0.0,2.0,7.878048780489999,2.0,5.0,9.0,47.6341463415,8.0,18.0,60.0,7.82926829268,1.0,2.0,7.0,/home/se-metrics/root/proccesed1/1998_WorldCup_ath97,Robocup-2D,agent,Robocup
18,0.913793103448,0.0,0.0,1.0,4.49091587531,2.0,3.6,5.6363636363600005,41.8847608713,13.4285714286,29.5,51.5,1.22561023268,0.714285714286,1.0,1.96,0.896551724138,0.0,0.0,1.0,0.775862068966,1.0,1.0,1.0,2.46551724138,2.0,2.0,3.75,83.9137931034,35.0,70.0,114.5,1.4655172413799995,0.0,1.0,1.0,0.137931034483,0.0,0.0,0.0,4.86206896552,2.0,3.5,7.0,0.568965517241,0.0,0.0,0.0,2.6724137931,1.25,2.0,3.0,11.4137931034,3.0,7.0,13.0,3.12068965517,0.0,0.0,4.0,/home/se-metrics/root/proccesed1/2009_PRIMA_hillstone_u,Robocup-2D,agent,Robocup
19,1.03921568627,0.0,0.0,1.0,2.89757128044,1.0,1.64705882353,4.04545454545,33.2808144886,7.166666666669999,19.0,51.2083333333,2.35263226777,1.0,1.72727272727,3.25,0.803921568627,0.0,0.0,1.0,0.529411764706,0.0,1.0,1.0,4.05882352941,1.0,2.0,4.0,76.4117647059,10.0,42.0,147.5,2.98039215686,0.0,1.0,4.5,0.333333333333,0.0,0.0,0.0,6.6078431372500015,1.0,3.0,10.5,0.725490196078,0.0,0.0,0.0,4.35294117647,1.0,2.0,3.0,16.0196078431,3.0,5.0,16.5,3.50980392157,0.0,0.0,2.0,/home/se-metrics/root/proccesed1/2016_WorldCup_HfutEngine2016,Robocup-2D,agent,Robocup
20,3.00198412698,0.0,0.0,2.0,1.6218162040700002,1.0,1.0,1.5,10.5131344602,3.5,5.15037593985,10.6541666667,1.15804954706,0.5,1.0,1.53793103448,3.09523809524,0.0,1.0,4.0,0.668650793651,0.0,1.0,1.0,3.9146825396800007,2.0,2.0,4.0,39.3214285714,4.0,11.0,38.0,4.28174603175,0.0,1.0,3.0,0.470238095238,0.0,0.0,0.0,9.59722222222,2.0,5.0,10.0,1.5376984127000002,0.0,0.0,0.0,8.132936507939997,2.0,4.0,8.0,44.1507936508,4.0,13.0,32.0,15.4900793651,0.0,3.0,12.0,/home/se-metrics/root/proccesed1/2012_ChinaOpens_miracle2012,Robocup-2D,agent,Robocup
21,1.02912621359,0.0,0.0,1.0,1.86734318668,1.0,1.125,2.24285714286,13.543908585599999,1.5,5.57142857143,16.821428571400002,1.64509346882,0.666666666667,1.0,2.0,0.7961165048540001,0.0,0.0,1.0,0.6601941747569999,0.0,1.0,1.0,4.737864077669999,1.5,3.0,6.0,37.3786407767,2.5,12.0,51.0,2.11650485437,0.0,1.0,2.0,0.300970873786,0.0,0.0,0.0,6.25242718447,2.0,4.0,7.0,0.6116504854370001,0.0,0.0,0.0,3.7087378640800006,1.0,2.0,4.0,11.0485436893,3.0,7.0,11.5,4.72815533981,0.0,0.0,5.5,/home/se-metrics/root/proccesed1/2014_WorldCup_UFSJ2DRobocup2014,Robocup-2D,agent,Robocup
